id;jhi_key;description;default_value;is_required;type
1;encoding invoice;SDD port Focused;Virginia;true;STRING
2;cross-platform;extend Practical;Trinidad and Tobago Dollar;false;OBJECT
3;optimizing;purple clicks-and-mortar;Orchestrator;false;OBJECT
4;Lead;primary;Cheese matrix indexing;true;OBJECT
5;Station;deliver COM real-time;Palladium calculate;false;OBJECT
6;Savings Account Chief;strategic Usability;salmon Island;false;BOOLEAN
7;interfaces;Principal Balboa US Dollar;Avon;false;OBJECT
8;turquoise Computer global;supply-chains Computer Computer;deliver;false;ARRAY
9;Car Polarised;Avon;quantifying;true;NUMBER
10;FTP interface;ADP users;Directives;false;NUMBER
